,state,2018
0,Colorado,66100
1,Indiana,47568
2,Kentucky,24268
3,Louisiana,38444
4,Illinois,108248
5,Iowa,18849
6,New Hampshire,10449
7,Arkansas,16473
8,Delaware,4939
9,Minnesota,44587
10,Montana,10920
11,Maine,11100
12,North Carolina,60290
13,Georgia,88337
14,Alaska,19454
15,Alabama,19833
16,Vermont,6779
17,Nevada,34599
18,West Virginia,9238
19,Oklahoma,24543
20,Wisconsin,45404
21,Puerto Rico,17316
22,Virginia,78956
23,North Dakota,4964
24,South Carolina,34651
25,Oregon,63191
26,Wyoming,6667
27,California,478550
28,Mississippi,16847
29,Connecticut,21662
30,Texas,206238
31,Maryland,50457
32,Florida,226550
33,Massachusetts,78380
34,District of Columbia,25812
35,Utah,24843
36,New York,199155
37,New Jersey,89063
38,Ohio,67076
39,Missouri,35173
40,Pennsylvania,94147
41,Michigan,61616
42,Nebraska,10639
43,Idaho,14767
44,New Mexico,13436
45,Hawaii,22824
46,South Dakota,4045
47,Washington,77178
48,Rhode Island,6115
49,Arizona,85028
50,Tennessee,40055
51,Kansas,18483
