,state,2018
0,Colorado,2963212
1,Indiana,3175022
2,Kentucky,1964958
3,Louisiana,1993979
4,Illinois,6191586
5,Iowa,1588720
6,New Hampshire,713985
7,Arkansas,1301150
8,Delaware,452707
9,Minnesota,2922866
10,Montana,514776
11,Maine,665930
12,North Carolina,4858875
13,Georgia,4891031
14,Alaska,355403
15,Alabama,2068020
16,Vermont,324340
17,Nevada,1426768
18,West Virginia,727427
19,Oklahoma,1777259
20,Wisconsin,2956937
21,Puerto Rico,980796
22,Virginia,4221015
23,North Dakota,398691
24,South Carolina,2303417
25,Oregon,1994598
26,Wyoming,284573
27,California,18530052
28,Mississippi,1217480
29,Connecticut,1793019
30,Texas,13337175
31,Maryland,3066434
32,Florida,9608687
33,Massachusetts,3558966
34,District of Columbia,378255
35,Utah,1514189
36,New York,9310791
37,New Jersey,4397527
38,Ohio,5524421
39,Missouri,2890814
40,Pennsylvania,6136003
41,Michigan,4615506
42,Nebraska,986223
43,Idaho,794523
44,New Mexico,875031
45,Hawaii,707479
46,South Dakota,448044
47,Washington,3659614
48,Rhode Island,519921
49,Arizona,3174586
50,Tennessee,3092819
51,Kansas,1434639
