,state,2018
0,Colorado,253520
1,Indiana,122285
2,Kentucky,79764
3,Louisiana,66932
4,Illinois,318593
5,Iowa,81306
6,New Hampshire,48986
7,Arkansas,48766
8,Delaware,25739
9,Minnesota,177705
10,Montana,37575
11,Maine,39636
12,North Carolina,292946
13,Georgia,288952
14,Alaska,18738
15,Alabama,71400
16,Vermont,24206
17,Nevada,59394
18,West Virginia,24893
19,Oklahoma,73647
20,Wisconsin,142881
21,Puerto Rico,22390
22,Virginia,236778
23,North Dakota,14897
24,South Carolina,114984
25,Oregon,148880
26,Wyoming,17692
27,California,1111955
28,Mississippi,32097
29,Connecticut,101519
30,Texas,693158
31,Maryland,158983
32,Florida,596696
33,Massachusetts,188548
34,District of Columbia,23199
35,Utah,104279
36,New York,421076
37,New Jersey,205170
38,Ohio,243314
39,Missouri,138342
40,Pennsylvania,315322
41,Michigan,189655
42,Nebraska,50265
43,Idaho,49341
44,New Mexico,44623
45,Hawaii,37933
46,South Dakota,27597
47,Washington,238682
48,Rhode Island,19221
49,Arizona,214693
50,Tennessee,146837
51,Kansas,68255
