,state,2019
0,Illinois,472274
1,Georgia,458996
2,Idaho,77332
3,Hawaii,93065
4,Indiana,306564
5,Iowa,136250
6,Kansas,122587
7,Kentucky,178419
8,Louisiana,177682
9,Maine,63687
10,Maryland,267221
11,Massachusetts,264946
12,Michigan,413874
13,Minnesota,243585
14,Connecticut,135546
15,Florida,901161
16,Alabama,185044
17,Alaska,41975
18,Arizona,348898
19,Arkansas,140667
20,California,1841273
21,Colorado,258425
22,Delaware,39638
23,District of Columbia,21290
24,Mississippi,110430
25,Missouri,244642
26,Montana,50917
27,Nebraska,89738
28,Nevada,155163
29,New Hampshire,56619
30,New Jersey,348602
31,New Mexico,84938
32,New York,591116
33,North Carolina,431414
34,North Dakota,34424
35,Ohio,447970
36,Oklahoma,169342
37,Oregon,190483
38,Pennsylvania,520230
39,Rhode Island,43901
40,South Carolina,203680
41,South Dakota,40155
42,Tennessee,282723
43,Texas,1330991
44,Vermont,27720
45,Utah,164101
46,Virginia,385944
47,Washington,370579
48,West Virginia,66033
49,Wisconsin,236541
50,Wyoming,32184
51,Puerto Rico,79042
