,state,2019
0,Illinois,4493385
1,Georgia,3885708
2,Idaho,657045
3,Hawaii,486335
4,Indiana,2634711
5,Iowa,1274662
6,Kansas,1197587
7,Kentucky,1617407
8,Louisiana,1662337
9,Maine,524381
10,Maryland,2271538
11,Massachusetts,2532334
12,Michigan,3812559
13,Minnesota,2296868
14,Connecticut,1406994
15,Florida,7703087
16,Alabama,1817479
17,Alaska,244725
18,Arizona,2478184
19,Arkansas,1082408
20,California,13767903
21,Colorado,2234342
22,Delaware,374194
23,District of Columbia,127196
24,Mississippi,1047757
25,Missouri,2392658
26,Montana,391949
27,Nebraska,818915
28,Nevada,1124622
29,New Hampshire,581204
30,New Jersey,3137002
31,New Mexico,733010
32,New York,4978442
33,North Carolina,3958871
34,North Dakota,334731
35,Ohio,4604398
36,Oklahoma,1476730
37,Oregon,1438719
38,Pennsylvania,4646438
39,Rhode Island,427425
40,South Carolina,1934730
41,South Dakota,357493
42,Tennessee,2606405
43,Texas,10992403
44,Vermont,246999
45,Utah,1205375
46,Virginia,3288926
47,Washington,2640727
48,West Virginia,599123
49,Wisconsin,2389929
50,Wyoming,214999
51,Puerto Rico,861965
