,state,2019
0,Illinois,187381
1,Georgia,74008
2,Idaho,22567
3,Hawaii,32002
4,Indiana,73084
5,Iowa,50497
6,Kansas,32070
7,Kentucky,44748
8,Louisiana,43025
9,Maine,25434
10,Maryland,67886
11,Massachusetts,181556
12,Michigan,101024
13,Minnesota,77562
14,Connecticut,50418
15,Florida,154954
16,Alabama,26208
17,Alaska,24732
18,Arizona,62452
19,Arkansas,25361
20,California,479751
21,Colorado,81116
22,Delaware,10504
23,District of Columbia,51806
24,Mississippi,13518
25,Missouri,60586
26,Montana,21487
27,Nebraska,27561
28,Nevada,23281
29,New Hampshire,17478
30,New Jersey,118774
31,New Mexico,18115
32,New York,584422
33,North Carolina,87959
34,North Dakota,12830
35,Ohio,127235
36,Oklahoma,26055
37,Oregon,76020
38,Pennsylvania,225258
39,Rhode Island,17593
40,South Carolina,48313
41,South Dakota,14428
42,Tennessee,44697
43,Texas,211383
44,Vermont,17220
45,Utah,32418
46,Virginia,99457
47,Washington,129741
48,West Virginia,21207
49,Wisconsin,87615
50,Wyoming,8253
51,Puerto Rico,28614
